rank,region_id,degree,betweenness,pagerank,clustering,strength,hub_score
1,77,17,0.14229801509644954,0.014588045906980747,0.22465224032198,6.65810006,0.8204674114480257
2,19,18,0.021433230826577207,0.012258312287001074,0.3317153379906374,7.58827328,0.6917624456816753
3,3,18,0.017332960581492873,0.015934178279485834,0.22194992427872404,7.40825496,0.6917296068300939
4,24,12,0.12049203242941013,0.015134062490858453,0.17709135746842256,4.7446507,0.6752323867876392
5,18,12,0.10586152269126829,0.00930308232059283,0.3584039592274088,4.80447165,0.6419669886085836
6,93,15,0.018358028142763955,0.010597481567565131,0.38766514137576547,6.586586360000001,0.625038252252211
7,85,14,0.03615692852483459,0.013079898010520756,0.30878905719783023,5.758497070000001,0.6226491235598112
8,101,10,0.1271083775976144,0.01067199675786396,0.27970251777415156,3.9595960100000003,0.6189508944876388
9,10,13,0.02693132047339484,0.010261521913076945,0.4060616016664513,6.2339224600000005,0.6073310984292926
10,131,15,0.025719876991892647,0.010141047413719233,0.35421679606597317,6.0498565200000005,0.6046424932648743
11,21,13,0.0,0.010198782848536545,0.4648188979204407,6.394449369999999,0.592013114569536
12,95,13,0.0,0.00965124058749187,0.4494120276160105,6.02010072,0.5702682819993148
13,48,13,0.004473022085546547,0.01199880718742106,0.36795697939106253,5.54331809,0.5669894225448837
14,29,10,0.08489423166526885,0.011063181101160162,0.2594629277502541,4.12386431,0.5622824498557566
15,122,13,0.004379834125430995,0.011622850780839305,0.3620290824110389,5.376506619999999,0.5558170130332669
16,57,14,0.00941198397167086,0.009441994634691175,0.36473853073709167,5.54194554,0.5518682025382299
17,84,9,0.025719876991892647,0.007884481266046003,0.5853119047796017,4.76212308,0.5507962190986675
18,92,13,0.0002795638803466592,0.010287503597899974,0.37285981871638274,5.569299460000001,0.5418935902915241
19,17,11,0.06765445904389153,0.009858175920440188,0.2777167021452579,3.9779701800000002,0.5361237575769502
20,70,9,0.05116019010343864,0.011308625761055941,0.35573156530263333,3.906891,0.5323984075440511
21,117,9,0.038952567328301185,0.007429806145457402,0.5163516831036389,4.33115238,0.529923443397465
22,72,8,0.1316745876432765,0.010674738802725197,0.12081910835960863,2.9932877300000005,0.5260903401726136
23,20,13,0.039045755288416736,0.009300148626655104,0.26775332547829206,4.531631020000001,0.5224876453121919
24,134,13,0.012859938495946324,0.008355733350769605,0.3846257613262053,4.90326061,0.5215968383143654
25,94,13,0.010996179293635264,0.008986397107156142,0.3226807079403217,4.87232916,0.5059516504676651
26,66,7,0.12468549063461001,0.00847113770778224,0.23610521472784268,2.6180917999999997,0.5050655068831739
27,12,8,0.10334544776814836,0.01173617685404563,0.11399998428769524,2.94232528,0.49603772913894817
28,82,9,0.01696020874103066,0.011744240244000686,0.35698790374335126,4.0490789199999995,0.49395373555594213
29,90,11,0.016494268940452896,0.00992016981431677,0.3284277213200799,4.1164610900000005,0.4851226054492467
30,28,8,0.0,0.008708815320780187,0.5464949519699337,3.83347121,0.47679472022401653
31,43,8,0.0027956388034665923,0.006728118677003506,0.5951710880885569,3.9368520100000004,0.4744029083916425
32,27,9,0.019289907743919487,0.009213438864864254,0.40018592564833666,3.8318630700000003,0.47377266915785404
33,106,8,0.09961792936352623,0.008484624908512692,0.186752067355528,2.8183845400000003,0.47035731872127184
34,103,8,0.04817817537974094,0.009681774186285061,0.3039577352144386,3.53504664,0.47005431968299616
35,44,8,0.00605721740751095,0.00822348748905743,0.5258352025091002,3.60095733,0.46637577805323865
36,8,9,0.023949305749697142,0.01160118195596341,0.2618263946470619,3.87002567,0.46634359242977413
37,144,7,0.0019569471624266144,0.009463996940613128,0.5348938799148563,3.3167556799999995,0.4605248215300712
38,102,8,0.0014910073618488492,0.008554839691977546,0.48888796436101056,3.62271761,0.45268613918593614
39,118,8,0.0003727518404622123,0.00817580388596898,0.5015496791091418,3.55963616,0.4488081682848174
40,40,11,0.013791818097101855,0.009942283543398604,0.21820431524244482,4.0372926499999995,0.4437030773001345
41,98,8,0.0409095144907278,0.011154711666168686,0.21453722098963604,3.1370467999999994,0.438782898480692
42,15,7,0.10399776348895723,0.009490791309689264,0.09238679189098702,2.37026431,0.43556044087598494
43,56,10,0.007175472928897587,0.00766869076039797,0.3501883336043772,3.8124958700000002,0.43171286971053335
44,124,10,0.004286646165315442,0.00619769235624378,0.43447349320682643,3.59228049,0.43076980247879276
45,138,6,0.07799832261671792,0.005747642411104552,0.3389057994656824,2.51761643,0.42490351880343064
46,23,8,0.05936073059360731,0.011512367285091595,0.08960964034332639,2.8244825999999996,0.42037751648374516
47,16,8,0.02935420743639922,0.007519015633150153,0.366353459983645,2.90047901,0.4199988186502687
48,99,9,0.00605721740751095,0.007836829961974183,0.3571148435436615,3.453559,0.41393062852197027
49,130,9,0.00848010437051533,0.0072886458811445955,0.3540754766367235,3.56979589,0.412531477168865
50,11,8,0.0007455036809244246,0.006999804741403297,0.4338228571576728,3.0410577699999997,0.3988986501315026
51,80,7,0.00018637592023110615,0.0067673640736788145,0.48123880721704293,2.91694305,0.3962186541410815
52,60,9,0.0,0.006020063509197832,0.4061043465960522,3.36258452,0.396133008647123
53,91,6,0.0,0.006110345963874258,0.5675835124443809,2.58332931,0.3958599359364906
54,50,8,9.318796011555308e-05,0.005142930711322773,0.49098754985599585,2.8941007,0.38937487081635547
55,107,5,0.10101574876525954,0.006914244338453105,0.17118802002511524,1.8745910300000002,0.3893458788141507
56,25,8,0.004752585965893207,0.007244266644463911,0.32227975745672366,3.0693061699999995,0.3721025622348869
57,64,6,0.0319634703196347,0.00592637965631675,0.3435085115687651,2.61596141,0.366532405351056
58,6,6,0.0,0.005513326266147627,0.520880148313526,2.29409996,0.3655691197316323
59,14,6,0.07734600689590905,0.009772632931868003,0.031814270028794604,2.07819408,0.3631495489116733
60,1,7,0.004286646165315442,0.006238437773538374,0.3783061951659062,2.7918220700000003,0.35860157667226
61,75,8,0.00363433044450657,0.006636921117339715,0.3074235335268429,2.9308329900000003,0.3544311414116188
62,114,7,0.004938961886124313,0.006582760201099447,0.36290694949025,2.6000845299999997,0.35378339429153616
63,37,5,0.07827788649706459,0.007098188729183878,0.15543588389391577,1.80256239,0.3526802180484751
64,32,6,0.0,0.006408486565749936,0.41107636585801605,2.4111439200000007,0.34421385311015157
65,104,3,0.0,0.005823870146288173,0.6155635363416155,1.3376334399999998,0.34168770795265474
